brk	ora				ora	asl		php	ora	asl			ora	asl
bpl	ora				ora	asl		clc	ora				ora	asl
jsr	and			bit	and	rol		plp	and	rol		bit	and	rol
bmi	and				and	rol		sec	and				and	rol
rti	eor				eor	lsr		pha	eor	lsr		jmp	eor	lsr
bvc	eor				eor	lsr		cli	eor				eor	lsr
rts	adc				adc	ror		pla	adc	ror		jmp	adc	ror
bvs	adc				adc	ror		sei	adc				adc	ror
	sta			sty	sta	stx		dey		txa		sty	sta	stx
bcc	sta			sty	sta	stx		tya	sta	txs			sta	
ldy	lda	ldx		ldy	lda	ldx		tay	lda	tax		ldy	lda	ldx
bcs	lda			ldy	lda	ldx		clv	lda	tsx		ldy	lda	ldx
cpy	cmp			cpy	cmp	dec		iny	cmp	dex		cpy	cmp	dec
bne	cmp				cmp	dec		cld	cmp				cmp	dec
cpx	sbc			cpx	sbc	inc		inx	sbc	nop		cpx	sbc	inc
beq	sbc				sbc	inc		sed	sbc				sbc	inc
